latitude,longitude,floorSize,url,address,price
40.584377,-74.101247,474,https://www.zillow.com/homedetails/175-Zoe-St-APT-4P-Staten-Island-NY-10305/32328843_zpid/,"175 Zoe St APT 4P, Staten Island, NY 10305","$199,500"
40.576974,-73.840229,940,https://www.zillow.com/homedetails/144-Beach-121-St-1R-Rockaway-Park-NY-11694/2077150008_zpid/,"144 Beach 121 St #1R, Rockaway Park, NY 11694","$389,600"
40.551948,-74.213693,"1,360",https://www.zillow.com/homedetails/17-Rutherford-Ct-Staten-Island-NY-10309/32372175_zpid/,"17 Rutherford Ct, Staten Island, NY 10309","$549,900"
40.701092,-73.992492,697,https://www.zillow.com/homedetails/55-Poplar-St-APT-4D-Brooklyn-NY-11201/30567143_zpid/,"55 Poplar St APT 4D, Brooklyn, NY 11201","$1,135,000"
40.73261,-73.781432,"2,475",https://www.zillow.com/homedetails/7331-189th-St-Fresh-Meadows-NY-11366/32078933_zpid/,"7331 189th St, Fresh Meadows, NY 11366","$1,750,000"
40.81747,-73.814644,"2,214",https://www.zillow.com/homedetails/237-Hollywood-Ave-1-Bronx-NY-10465/2076850683_zpid/,"237 Hollywood Ave #1, Bronx, NY 10465","$698,000"
40.767004,-73.934054,680,https://www.zillow.com/homedetails/1215-Broadway-APT-506-Astoria-NY-11106/2094728476_zpid/,"1215 Broadway APT 506, Astoria, NY 11106","$612,000"
40.748043,-73.818858,"2,708",https://www.zillow.com/homedetails/4811-Colden-St-Flushing-NY-11355/32041437_zpid/,"4811 Colden St, Flushing, NY 11355","$1,527,000"
40.648981,-73.944259,"1,000",https://www.zillow.com/homedetails/3500-Snyder-Ave-APT-7M-Brooklyn-NY-11203/245032744_zpid/,"3500 Snyder Ave APT 7M, Brooklyn, NY 11203","$339,000"
40.648981,-73.944259,"1,000",https://www.zillow.com/homedetails/3500-Snyder-Ave-APT-7M-Brooklyn-NY-11203/245032744_zpid/,"3500 Snyder Ave APT 7M, Brooklyn, NY 11203","$339,000"
40.725766,-73.945673,"2,950",https://www.zillow.com/homedetails/687-Humboldt-St-Brooklyn-NY-11222/30621244_zpid/,"687 Humboldt St, Brooklyn, NY 11222","$3,150,000"
40.608775,-73.931914,"1,008",https://www.zillow.com/homedetails/2018-E-35th-St-Brooklyn-NY-11234/30785728_zpid/,"2018 E 35th St, Brooklyn, NY 11234","$760,000"
40.792704,-73.798556,,https://www.zillow.com/homedetails/16221-Powells-Cove-Blvd-3S-Beechhurst-NY-11357/2097776565_zpid/,"16221 Powells Cove Blvd #3S, Beechhurst, NY 11357","$418,999"
40.602709,-74.008804,700,https://www.zillow.com/homedetails/268-Bay-17th-St-APT-A1-Brooklyn-NY-11214/2078194265_zpid/,"268 Bay 17th St APT A1, Brooklyn, NY 11214","$289,900"
40.715133,-73.79269,"4,000",https://www.zillow.com/homedetails/88-10-162-Jamaica-NY-11432/2076828363_zpid/,"88-10 162, Jamaica, NY 11432","$1,100,000"
40.606934,-74.067828,"2,158",https://www.zillow.com/homedetails/181-Fingerboard-Rd-Staten-Island-NY-10305/32321447_zpid/,"181 Fingerboard Rd, Staten Island, NY 10305","$695,000"
40.601421,-74.090269,"1,350",https://www.zillow.com/homedetails/22-Rome-Ave-Staten-Island-NY-10304/32324260_zpid/,"22 Rome Ave, Staten Island, NY 10304","$689,000"
40.722375,-73.840539,950,https://www.zillow.com/homedetails/110-20-71st-Ave-APT-310-Forest-Hills-NY-11375/90133920_zpid/,"110-20 71st Ave APT 310, Forest Hills, NY 11375","$499,000"
40.544565,-74.18586,,https://www.zillow.com/homedetails/70-73-Rensselaer-Ave-Staten-Island-NY-10312/2076799572_zpid/,"70-73 Rensselaer Ave, Staten Island, NY 10312","$729,000"
40.705916,-73.887064,"1,314",https://www.zillow.com/homedetails/6903-67th-Pl-Glendale-NY-11385/32013922_zpid/,"6903 67th Pl, Glendale, NY 11385","$605,000"
40.740344,-74.002605,750,https://www.zillow.com/homedetails/85-8th-Ave-APT-4F-New-York-NY-10011/321903079_zpid/,"85 8th Ave APT 4F, New York, NY 10011","$675,000"
40.537488,-74.159618,900,https://www.zillow.com/homedetails/219-Lyndale-Ave-Staten-Island-NY-10312/32349967_zpid/,"219 Lyndale Ave, Staten Island, NY 10312","$589,000"
40.610829,-73.933559,"1,550",https://www.zillow.com/homedetails/3502-Fillmore-Ave-Brooklyn-NY-11234/30785013_zpid/,"3502 Fillmore Ave, Brooklyn, NY 11234","$749,000"
40.614647,-73.95155,"1,600",https://www.zillow.com/homedetails/1464-E-23rd-St-Brooklyn-NY-11210/30755469_zpid/,"1464 E 23rd St, Brooklyn, NY 11210","$865,000"
40.651396,-73.948346,"2,122",https://www.zillow.com/homedetails/11-Fairview-Pl-Brooklyn-NY-11226/30658716_zpid/,"11 Fairview Pl, Brooklyn, NY 11226","$899,999"
40.627254,-74.082355,"1,744",https://www.zillow.com/homedetails/489-Van-Duzer-St-Staten-Island-NY-10304/32284907_zpid/,"489 Van Duzer St, Staten Island, NY 10304","$649,000"
40.609282,-74.071131,"3,028",https://www.zillow.com/homedetails/215-Saint-Johns-Ave-Staten-Island-NY-10305/32321086_zpid/,"215 Saint Johns Ave, Staten Island, NY 10305","$1,750,000"
40.73003,-73.804441,,https://www.zillow.com/homedetails/71-12-165th-St-Fresh-Meadows-NY-11365/2080380793_zpid/,"71-12 165th St, Fresh Meadows, NY 11365","$1,349,000"
40.509606,-74.252143,"3,300",https://www.zillow.com/homedetails/42-Hopping-Ave-Staten-Island-NY-10307/316675531_zpid/,"42 Hopping Ave, Staten Island, NY 10307","$999,999"
40.750878,-73.824237,"1,000",https://www.zillow.com/homedetails/4335-Union-St-APT-2L-Flushing-NY-11355/245388806_zpid/,"4335 Union St APT 2L, Flushing, NY 11355","$432,100"
40.601588,-73.982034,"1,690",https://www.zillow.com/homedetails/1863-W-10th-St-Brooklyn-NY-11223/30722721_zpid/,"1863 W 10th St, Brooklyn, NY 11223","$1,050,000"
40.731544,-73.886118,"1,152",https://www.zillow.com/homedetails/5296-79th-St-Flushing-NY-11373/31984876_zpid/,"5296 79th St, Flushing, NY 11373","$880,000"
40.759931,-73.98963,,https://www.zillow.com/homedetails/325-W-45th-St-APT-118-New-York-NY-10036/90135530_zpid/,"325 W 45th St APT 118, New York, NY 10036","$465,000"
40.591236,-74.074278,"2,524",https://www.zillow.com/homedetails/182-Olympia-Blvd-Staten-Island-NY-10305/32328244_zpid/,"182 Olympia Blvd, Staten Island, NY 10305","$836,000"
40.650573,-73.945372,"1,507",https://www.zillow.com/homedetails/259-E-34th-St-Brooklyn-NY-11203/30659516_zpid/,"259 E 34th St, Brooklyn, NY 11203","$725,000"
40.611538,-73.931219,"2,064",https://www.zillow.com/homedetails/1932-E-38th-St-Brooklyn-NY-11234/30785173_zpid/,"1932 E 38th St, Brooklyn, NY 11234","$775,000"
